1,fgray,Dabfeed,Jesse,Thompson,Male,jthompson@realcube.com,Tustin,26.206.156.44,1966/08/13,8792.8,3566766182661088,jcb
2,wcruz,Flipstorm,Donna,Mason,Male,dmason@gabspot.biz,Colusa,209.194.244.44,1965/07/13,19830.69,3548969182074202,jcb
3,creynolds,Divape,Antonio,Evans,Female,aevans@dabvine.info,Citrus Heights,17.28.102.4,1986/08/01,19476.84,4508220676105136,visa-electron
4,gjackson,Jamia,Catherine,Watson,Male,cwatson@pixope.net,Orange Cove,23.111.166.153,1983/04/24,8431.58,5602255099674211,bankcard
5,cmorrison,Ooba,Jerry,Russell,Female,jrussell@topicware.info,Vacaville,123.196.79.120,1950/07/02,31385.36,3551325356097764,jcb
6,rcarr,Gabvine,Jennifer,Wright,Female,jwright@bluezoom.com,Alhambra,81.115.105.38,1974/02/20,26488.7,4508555526888369,visa-electron
7,pcastillo,Avamm,Jimmy,Hill,Male,jhill@gigabox.name,Exeter,216.42.142.19,1958/05/13,25772.22,3577720652678954,jcb
8,wpayne,Shuffletag,Victor,Price,Male,vprice@babbleset.info,Hollister,27.135.105.255,1951/06/07,19590.3,4917704718091938,visa-electron
9,jthompson,Gigashots,Diana,Ford,Female,dford@demizz.name,Red Bluff,160.145.163.244,1963/07/15,29945.36,201616702013368,diners-club-enroute
10,swallace,Zazio,Wanda,Nelson,Male,wnelson@blogtags.net,Buellton,13.92.249.124,1952/04/10,27895.01,3542354362044257,jcb
11,cevans,Bubblebox,Phillip,Hill,Female,phill@vinte.net,Shafter,251.93.45.246,1979/01/16,26880.53,5048371469869059,mastercard
12,jevans,Zoomdog,Donna,Wood,Female,dwood@realcube.gov,Imperial,195.235.36.241,1969/04/19,22166.29,3569980755886892,jcb
13,portiz,Aimbo,Tammy,Miller,Male,tmiller@riffpath.info,Garden Grove,144.137.238.51,1955/03/06,12567.74,5484114684413902,diners-club-us-ca
14,gwheeler,Yombu,Lillian,Pierce,Male,lpierce@kamba.name,Bell,156.64.143.90,1972/10/04,43258.79,676245349525885250,maestro
15,sross,Shuffletag,Howard,Perry,Male,hperry@youbridge.org,Pleasanton,20.158.246.33,1978/10/20,11210.78,4936127968801789,switch
16,pcampbell,Brainlounge,Louis,Griffin,Male,lgriffin@thoughtbridge.info,Bakersfield,25.231.120.6,1959/10/12,20618.75,5610648635655274,china-unionpay
17,crogers,Yotz,Irene,Bryant,Female,ibryant@skinte.com,Lincoln,154.29.201.96,1990/03/26,4936.59,3581757136672454,jcb
18,ewagner,Jaxworks,Carolyn,Coleman,Female,ccoleman@buzzshare.info,Nevada City,9.231.98.182,1959/06/20,29104.03,3576201712889064,jcb
19,djames,Rhyloo,Juan,Reynolds,Male,jreynolds@browsecat.name,Glendale,147.67.239.96,1981/06/22,9420.74,4017951489483,visa
20,ffoster,Plambee,Margaret,Flores,Female,mflores@quaxo.mil,Hayward,5.20.174.206,1970/11/07,8323.17,5610147691636856,china-unionpay
21,aallen,Feedspan,Rebecca,Perry,Female,rperry@brainverse.com,Chula Vista,247.241.129.227,1950/12/08,31082.04,633110932663222205,switch
22,crivera,Realmix,Harry,Turner,Male,hturner@yoveo.com,Dixon,15.155.120.182,1980/09/08,48641.67,374288746591147,americanexpress
23,rshaw,Tagchat,Lillian,Butler,Female,lbutler@lajo.info,Sutter Creek,243.57.169.26,1955/09/10,42720.07,3588899354795923,jcb
